description,segment,category,subcategory
CHA LEAO C/10 20G MACA/CANELA,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA LEAO C/10 20G MACA/CANELA
CHA LEAO MACA CANELA C/20 20G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA LEAO MACA CANELA C/20 20G
CHA LIPTON PESS ZERO PET 1.5L,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA LIPTON PESS ZERO PET 1.5L
CHA MACA CANELA MADRUGADA 15g,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA MACA CANELA MADRUGADA 15g
CHA MACA CRAVO CAN MARATA 20G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA MACA CRAVO CAN MARATA 20G
CHA MATE LEAO GRANEL CX  250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA MATE LEAO GRANEL CX  250G
CHA MATE REAL CX 250G NATURAL,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA MATE REAL CX 250G NATURAL
CHA MATTE LIMAO GAS 290ML 6UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA MATTE LIMAO GAS 290ML 6UN
CHA MORG SILVESTRE OETKER 10G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA MORG SILVESTRE OETKER 10G
CHA PRENDA BOLDO 10S AZUL 12G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA PRENDA BOLDO 10S AZUL 12G
CHA PRENDA CIDREIRA VERDE 10G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA PRENDA CIDREIRA VERDE 10G
CHA PRENDA ERVA DOCE ROSA 18G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA PRENDA ERVA DOCE ROSA 18G
CHA PRENDA VERDE C/ VERDE 18G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA PRENDA VERDE C/ VERDE 18G
CHA PRETO CARREFOUR 10 SACHES,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA PRETO CARREFOUR 10 SACHES
CHA ROMA CRAMBERRY OETKER 30G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA ROMA CRAMBERRY OETKER 30G
CHA VDE INTEG MAGRO MATCHA 8G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA VDE INTEG MAGRO MATCHA 8G
CHA VERDE CARREFOUR 10 SACHES,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA VERDE CARREFOUR 10 SACHES
CHA VERDE LIMA DR OETKER 225g,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO CHA VERDE LIMA DR OETKER 225g
QA CHA MATE LIMAO QUALITA 40G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO QA CHA MATE LIMAO QUALITA 40G
TWININGS CHA LAR/MANG/CAN 18G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA POR INFUSAO TWININGS CHA LAR/MANG/CAN 18G
BEB ADOC GUARANA E ACAI LEAO 450ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO BEB ADOC GUARANA E ACAI LEAO 450ML
BOOZ KOMBUCHA DRAFT LIMAO S/MAR/HO,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO BOOZ KOMBUCHA DRAFT LIMAO S/MAR/HO
BOOZ KOMBUCHA DRAFT LIMAO/GENGIBRE,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO BOOZ KOMBUCHA DRAFT LIMAO/GENGIBRE
BOOZ KOMBUCHA DRAFT MARACUJA 269ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO BOOZ KOMBUCHA DRAFT MARACUJA 269ML
CHA BRANCO ZERO LIFE MIX PITAYA 1L,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA BRANCO ZERO LIFE MIX PITAYA 1L
CHA ICE TEA FUZE PESSEGO PET 300ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA ICE TEA FUZE PESSEGO PET 300ML
CHA ICE TEA FUZE PESSEGO PET 450ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA ICE TEA FUZE PESSEGO PET 450ML
CHA LIQ LEAO ICE TEA PESSEGO 250ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA LIQ LEAO ICE TEA PESSEGO 250ML
CHA MATE C LIMAO BIOLEVE PET 390ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA MATE C LIMAO BIOLEVE PET 390ML
CHA MATTE LEAO LIMAO ZERO PET 1.5L,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA MATTE LEAO LIMAO ZERO PET 1.5L
CHA MATTE LEAO LIMAO ZR  PET 300ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA MATTE LEAO LIMAO ZR  PET 300ML
CHA MATTE LEAO NATURAL GRANEL 250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA MATTE LEAO NATURAL GRANEL 250G
CHA MEMBERS MARK FRUTAS VERM 750ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA MEMBERS MARK FRUTAS VERM 750ML
CHA PRON LEAO FUZE 300ML ZERO PESS,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA PRON LEAO FUZE 300ML ZERO PESS
CHA PRONTO LIPTON LIMAO PET 500 ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA PRONTO LIPTON LIMAO PET 500 ML
CHA VDE C/LIMAO TEA NAT MAGUARY 1L,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA VDE C/LIMAO TEA NAT MAGUARY 1L
CHA VDE ZER ACU FEEL GOOD LIMAO 1L,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA VDE ZER ACU FEEL GOOD LIMAO 1L
CHA VERDE LIMAO LEAO GARRAFA 450ML,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHA VERDE LIMAO LEAO GARRAFA 450ML
CHALEIRA BRITANIA 18L BCH02PI 220V,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO CHALEIRA BRITANIA 18L BCH02PI 220V
QA CHA HIBISCO FRUTAS VERMELHAS 1L,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,59-CHAS CHA PRONTO QA CHA HIBISCO FRUTAS VERMELHAS 1L
BEB ICE 51 275ML KIWI,1-BENS DE CONSUMO,20-DIVERSOS BEBIDAS,60-DIVERSOS BEBIDAS OUTRA BEBIDA BEB ICE 51 275MLKIWI
GUARANA ANTARCTICA. 2 5L,1-BENS DE CONSUMO,23-REFRIGERANTES,63-REFRIGERANTES REFRIGERANTE GUARANA ANTARCTICA. 25L
REF COCA COLA ZERO 2 5LT,1-BENS DE CONSUMO,23-REFRIGERANTES,63-REFRIGERANTES REFRIGERANTE REF COCA COLA ZERO 25LT
REF GUAR ANTARCTICA 2 5L,1-BENS DE CONSUMO,23-REFRIGERANTES,63-REFRIGERANTES REFRIGERANTE REF GUAR ANTARCTICA 25L
REF H2OH 1 5LT  LIMONETO,1-BENS DE CONSUMO,23-REFRIGERANTES,63-REFRIGERANTES REFRIGERANTE REF H2OH 15LT  LIMONETO
REF H2OH LIMONETO 6X1 5L,1-BENS DE CONSUMO,23-REFRIGERANTES,63-REFRIGERANTES REFRIGERANTE REF H2OH LIMONETO 6X15L
REFRIG GLUB 2L PET LIMAO,1-BENS DE CONSUMO,23-REFRIGERANTES,63-REFRIGERANTES REFRIGERANTE REFRIG GLUB 2L PETLIMAO
REFRIG SUKITA 2L PET UVA,1-BENS DE CONSUMO,23-REFRIGERANTES,63-REFRIGERANTES REFRIGERANTE REFRIG SUKITA 2L PETUVA
REFRIGERANTE TOBI 2L UVA,1-BENS DE CONSUMO,23-REFRIGERANTES,63-REFRIGERANTES REFRIGERANTE REFRIGERANTE TOBI 2LUVA
DV FRESH UVA PET 1 5L,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO DV FRESH UVA PET 15L
NECTAR BRETAS 1L CAJU,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO NECTAR BRETAS 1LCAJU
NECTAR DAFRUTA 1l UVA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO NECTAR DAFRUTA 1lUVA
NECTAR IZZY TP 1L UVA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO NECTAR IZZY TP 1LUVA
NECTAR MAGUARY 1l UVA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO NECTAR MAGUARY 1lUVA
NECTAR TIAL 330ML UVA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO NECTAR TIAL 330MLUVA
SUCO DEL VALLE 1L UVA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO SUCO DEL VALLE 1LUVA
SUCO DO BEM 1L GOIABA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO SUCO DO BEM 1LGOIABA
SUCO M KAPO 200ML UVA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO SUCO M KAPO 200MLUVA
SUCO MAGUARY 1 5L UVA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO SUCO MAGUARY 15L UVA
SUCO MARATA 1L GOIABA,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO SUCO MARATA 1LGOIABA
SUCO MITTO MANGA 1 5L,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO SUCO MITTO MANGA 15L
SUCO NAT ONE 1 5L LAR,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO SUCO NAT ONE 15L LAR
SUCO YULO CITRUS 1 5L,1-BENS DE CONSUMO,24-SUCOS E REFRESCOS,64-SUCOS E REFRESCOS SUCO PRONTO SUCO YULO CITRUS 15L
MORTADELA SADIA 400G TRADICIONAL,1-BENS DE CONSUMO,3-FRIOS E LATICINIOS,6-EMBUTIDOS MORTADELA MORTADELA SADIA 400GTRADICIONAL
SALAME ITAL SADIA PC KG TRADICIONAL,1-BENS DE CONSUMO,3-FRIOS E LATICINIOS,6-EMBUTIDOS SALAME SALAME ITAL SADIA PC KGTRADICIONAL
SALAME SALAMITO 36G SNACK PEPPERONI,1-BENS DE CONSUMO,3-FRIOS E LATICINIOS,6-EMBUTIDOS SALAME SALAME SALAMITO 36G SNACKPEPPERONI
SALSICHA H/DOG PERDIGAO PCT 2 8KG,1-BENS DE CONSUMO,3-FRIOS E LATICINIOS,6-EMBUTIDOS SALSICHA SALSICHA H/DOG PERDIGAO PCT 28KG
SAB HUG 75G SUAVE,1-BENS DE CONSUMO,29-BABY CARE,73-HIGIENE DO BEBE SABONETE INFANTIL SAB HUG 75GSUAVE
SH ELSEVE 400ML HYDRA DETOX,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,77-HIGIENE CAPILAR SHAMPOO SH ELSEVE 400MLHYDRA DETOX
SH ELSEVE 400ML LISO SONHOS,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,77-HIGIENE CAPILAR SHAMPOO SH ELSEVE 400MLLISO SONHOS
SH PANTENE 400ML HIDRATACAO,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,77-HIGIENE CAPILAR SHAMPOO SH PANTENE 400MLHIDRATACAO
SH SEDA 325ML LISO PERFEITO,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,77-HIGIENE CAPILAR SHAMPOO SH SEDA 325MLLISO PERFEITO
SHAMPOO SEDA 325ML ANTI NOS,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,77-HIGIENE CAPILAR SHAMPOO SHAMPOO SEDA 325MLANTI NOS
SAB GRANADO 90G GLICERINA,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SAB GRANADO 90GGLICERINA
SAB JeJ 80G INF HORA SONO,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SAB JeJ 80G INFHORA SONO
SAB JOHNSONS 80G AMENDOAS,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SAB JOHNSONS 80GAMENDOAS
SAB PHEBO 90G LIMA PERSIA,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SAB PHEBO 90GLIMA PERSIA
SAB PROTEX 200G ERVA DOCE,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SAB PROTEX 200GERVA DOCE
SABONETE BRETAS 90G LEITE,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SABONETE BRETAS 90GLEITE
SABONETE DOVE 90G ANTIBAC,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SABONETE DOVE 90GANTIBAC
SABONETE DOVE 90G CREMOSO,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SABONETE DOVE 90GCREMOSO
SABONETE FRANCIS 90g AZUL,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SABONETE FRANCIS 90gAZUL
SABONETE FRANCIS 90g VERM,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SABONETE FRANCIS 90gVERM
SABONETE PROTEX 85g SUAVE,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SABONETE PROTEX 85gSUAVE
TIRA MANCHA URCA 1 5L S/ CLORO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA ALVEJANTE TIRA MANCHA URCA 15L S/ CLORO
AM COMFORT EX AZUL BRANCO 1 8L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AM COMFORT EX AZUL BRANCO 18L
AMAC COMFORT 1 5L CONC INTENSE,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC COMFORT 15L CONC INTENSE
AMAC COMFORT 1 8L BRISA FLORAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC COMFORT 18L BRISA FLORAL
AMAC DOWNY 1 350ML CONC PAIXAO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC DOWNY 1350ML CONC PAIXAO
AMAC DOWNY 1 5L CONC PRIMAVERA,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC DOWNY 15L CONC PRIMAVERA
AMAC DOWNY 500 LIRIOS DO CAMPO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC DOWNY 500LIRIOS DO CAMPO
AMAC ROU YPE ACONCHEGO L2 P1 6,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC ROU YPE ACONCHEGO L2 P16
AMAC ROU YPE ACONCHEGO L2P1 8L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC ROU YPE ACONCHEGO L2P18L
AMAC SONHO AZUL PROF AZUL 1 5L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC SONHO AZUL PROF AZUL 15L
AMAC YPE LV2LT PG1 6LT INTENSO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC YPE LV2LT PG16LT INTENSO
AMAC YPE LV2LT PG1 6LT TERNURA,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC YPE LV2LT PG16LT TERNURA
AMACIANTE BABY SOFT 2L CARINHO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE BABY SOFT 2LCARINHO
AMACIANTE BABY SOFT 2L SEDUTOR,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE BABY SOFT 2LSEDUTOR
AMACIANTE DOWNY 1L AGUA FRESCA,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE DOWNY 1LAGUA FRESCA
AMACIANTE DOWNY 1L BRISA VERAO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE DOWNY 1LBRISA VERAO
AMACIANTE DOWNY 450ML ADORAVEL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE DOWNY 450MLADORAVEL
AMACIANTE ESPUMIL 2L ACONCHEGO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE ESPUMIL 2LACONCHEGO
AMACIANTE FOFO CONC 500ML TRAD,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE FOFO CONC 500MLTRAD
AMACIANTE MON BIJOU 2L INTENSE,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE MON BIJOU 2LINTENSE
AMACIANTE PREZUNIC 2L CLASSICO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE PREZUNIC 2LCLASSICO
AMACIANTE SONHO 2L FACILITADOR,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE SONHO 2LFACILITADOR
AMACIANTE YPE CONC 1L DELICADO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE YPE CONC 1LDELICADO
AMACIANTE YPE INTENSO L2/P1 6L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE YPE INTENSO L2/P16L
AMACIANTE YPE TERNURA L2/P1 6L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE YPE TERNURA L2/P16L
BRILHANTE CUID TT AZUL 1 6KG,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS BRILHANTE CUID TT AZUL 16KG
BRILHANTE LIMP AZUL BG 1 6KG,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS BRILHANTE LIMP AZUL BG 16KG
BRILHANTE LIMP TT AZUL 1 6KG,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS BRILHANTE LIMP TT AZUL 16KG
DET PO TIXAN MACIEZ CT 1 6KG,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS DET PO TIXAN MACIEZ CT 16KG
DET PO TIXAN MACIEZ FX 2 4KG,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS DET PO TIXAN MACIEZ FX 24KG
LAVA ROUPA PO CLARO UP 1 6KG,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS LAVA ROUPA PO CLARO UP 16KG
LAVA ROUPAS OMO 1 6KG SPORTS,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS LAVA ROUPAS OMO 16KG SPORTS
SABAO LIQ BRETAS 1L ORIGINAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO LIQ BRETAS 1LORIGINAL
SABAO LIQ BRETAS 3L ORIGINAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO LIQ BRETAS 3LORIGINAL
SABAO LIQ OMO 900ML ORIGINAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO LIQ OMO 900MLORIGINAL
SABAO PO BRETAS 1Kg ORIGINAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO PO BRETAS 1KgORIGINAL
SABAO PO BRETAS 2Kg ORIGINAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO PO BRETAS 2KgORIGINAL
SABAO PO COMFORT 1.6Kg HYDRA,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO PO COMFORT 1.6KgHYDRA
SABAO PO ESPUMIL 500g FLORES,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO PO ESPUMIL 500gFLORES
SANITIZ.PO OMO 2 4KG ANTIBAC,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SANITIZ.PO OMO 24KG ANTIBAC
SANITIZ.PO OMO 5 6KG ANTIBAC,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SANITIZ.PO OMO 56KG ANTIBAC
SABAO YPE 200G MULTIATIVO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA SABAO EM PEDRA SABAO YPE 200GMULTIATIVO
SABAO YPE C/5 200G NEUTRO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA SABAO EM PEDRA SABAO YPE C/5 200GNEUTRO
ALCOOL Q-OTIMO 46 2  1L-FR,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,80-LIMPEZA DOMESTICA ALCOOL ALCOOL Q-OTIMO 462  1L-FR
ALCOOL STA CRUZ 46 3 500ml,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,80-LIMPEZA DOMESTICA ALCOOL ALCOOL STA CRUZ 463 500ml
DETERG YPE 500ML CLEAR,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,80-LIMPEZA DOMESTICA DETERGENTE DETERG YPE 500MLCLEAR
DETERG YPE 500ML LIMAO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,80-LIMPEZA DOMESTICA DETERGENTE DETERG YPE 500MLLIMAO
ESPONJA ESFREBOM TEFL C/3,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,80-LIMPEZA DOMESTICA ESPONJA ESPONJA ESFREBOMTEFL C/3
WHISKAS CAST  500G,1-BENS DE CONSUMO,34-PET FOOD,86-RACOES E PETISCOS ALIMENTO PETD WHISKAS CAST  500G
TOALHA DE BANHO LINEA CAMESA VERMELHO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA DE BANHO LINEA CAMESA VERMELHO
TOALHA DE ROSTO LINEA VERMELHO CAMESA,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA DE ROSTO LINEA VERMELHO CAMESA
TOALHA LANCHEIRA DOHLER DISNEY MINNIE,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA LANCHEIRA DOHLER DISNEY MINNIE
LENCOL MF C ELAS SOLT CAMESA ELIS PV20,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA LENCOL LENCOL MF C ELAS SOLT CAMESA ELIS PV20
LENCOL MF C ELAS SOLT CAMESA MULE OI21,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA LENCOL LENCOL MF C ELAS SOLT CAMESA MULE OI21
TRAV MICRO COTTON 0.50X0.70 FIRME,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAV MICRO COTTON 0.50X0.70 FIRME
TRAVESSEIRO ALTENBURG SUPER FIRME,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO ALTENBURG SUPER FIRME
TRAVESSEIRO ALTENBURG SUPER M DIO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO ALTENBURG SUPER M DIO
TRAVESSEIRO ALTENBURG SUPER MEDIO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO ALTENBURG SUPER MEDIO
TRAVESSEIRO CORPO ORTOBOM 038X120,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO CORPO ORTOBOM 038X120
TRAVESSEIRO EFEITO PLUMA SANTISTA,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO EFEITO PLUMA SANTISTA
TRAVESSEIRO ORTOBOM CASADINHO C/2,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO ORTOBOM CASADINHO C/2
