description,segment,category,subcategory
BEB MAQ 3 CORACOES C/10 CAPPUCCINO AVELA,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE BEB MAQ 3 CORACOES C/10 CAPPUCCINO AVELA
BEB MAQ D.GUSTO C/16 CAFE AU LAIT DESNAT,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE BEB MAQ D.GUSTO C/16 CAFE AU LAIT DESNAT
CAFE 3 COR.CAPPUCCINO CANELA    PE  20GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.CAPPUCCINO CANELA    PE  20GR
CAFE 3 COR.CAPPUCCINO CHOC..    PE  20GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.CAPPUCCINO CHOC..    PE  20GR
CAFE 3 COR.CAPPUCCINO CHOCOLATE PT 200GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.CAPPUCCINO CHOCOLATE PT 200GR
CAFE 3 COR.CAPPUCCINO CLASSIC   PT 200GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.CAPPUCCINO CLASSIC   PT 200GR
CAFE 3 COR.CAPPUCCINO DIET.     PT 150GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.CAPPUCCINO DIET.     PT 150GR
CAFE 3 COR.COM LEITE            PT 330GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.COM LEITE            PT 330GR
CAFE 3 COR.DESCAFEINADO.        PE 250GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.DESCAFEINADO.        PE 250GR
CAFE 3 COR.EXTRA FORTE          PE 250GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.EXTRA FORTE          PE 250GR
CAFE 3 COR.EXTRA FORTE          PE 500GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.EXTRA FORTE          PE 500GR
CAFE 3 COR.EXTRA FORTE L500P475 PE  500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.EXTRA FORTE L500P475 PE  500G
CAFE 3 COR.GORMET CERRADO MINEI.PE  250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.GORMET CERRADO MINEI.PE  250G
CAFE 3 COR.GORMET MOGIANA PAULI.PE  250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.GORMET MOGIANA PAULI.PE  250G
CAFE 3 COR.GORMET SUL DE MINA   PE  250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.GORMET SUL DE MINA   PE  250G
CAFE 3 COR.SOLUVEL DESCAFEINADO.PE  50GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.SOLUVEL DESCAFEINADO.PE  50GR
CAFE 3 COR.T/M PREM.ESTRAD.REAL PE  500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.T/M PREM.ESTRAD.REAL PE  500G
CAFE 3 COR.TRADICIONAL          PE 500GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.TRADICIONAL          PE 500GR
CAFE 3 COR.TRADICIONAL L500P475 PE  500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.TRADICIONAL L500P475 PE  500G
CAFE 3 COR.TRADICIONAL.         PE 250GR,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 COR.TRADICIONAL.         PE 250GR
CAFE 3 CORACOES CAPPUC CLASSIC C/10 caps,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUC CLASSIC C/10 caps
CAFE 3 CORACOES CAPPUC/AVEL C/10 CAP 11g,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUC/AVEL C/10 CAP 11g
CAFE 3 CORACOES CAPPUCC    DIET  PT 150G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC    DIET  PT 150G
CAFE 3 CORACOES CAPPUCC BAUN  SACHET 20G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC BAUN  SACHET 20G
CAFE 3 CORACOES CAPPUCC BAUNILHA PT 200G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC BAUNILHA PT 200G
CAFE 3 CORACOES CAPPUCC CAN   SACHET 20G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC CAN   SACHET 20G
CAFE 3 CORACOES CAPPUCC CHOC     PT 200G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC CHOC     PT 200G
CAFE 3 CORACOES CAPPUCC CHOC  SACHET 20G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC CHOC  SACHET 20G
CAFE 3 CORACOES CAPPUCC CLASSIC  PT 200G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC CLASSIC  PT 200G
CAFE 3 CORACOES CAPPUCC CLASSIC  PT 400G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC CLASSIC  PT 400G
CAFE 3 CORACOES CAPPUCC ZERO LAC PT 180G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPPUCC ZERO LAC PT 180G
CAFE 3 CORACOES DESCAFEINADO    PCT 250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES DESCAFEINADO    PCT 250G
CAFE 3 CORACOES EXTRA FORTE ATM     500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES EXTRA FORTE ATM     500G
