new_subcategory,family,category,segment
PROTEINA VEGETAL,66-VEGETAL HIGIENIZADO E PROCESSADO,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
VEGETAL,66-VEGETAL HIGIENIZADO E PROCESSADO,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
CREME DE TRATAMENTO,67-CUIDADO CAPILAR,26-COSMETICOS,1-BENS DE CONSUMO
CREME PARA PENTEAR,67-CUIDADO CAPILAR,26-COSMETICOS,1-BENS DE CONSUMO
MODELADOR PARA CABELO,67-CUIDADO CAPILAR,26-COSMETICOS,1-BENS DE CONSUMO
OLEO DE CABELO,67-CUIDADO CAPILAR,26-COSMETICOS,1-BENS DE CONSUMO
TINTURA E DESCOLORANTE,67-CUIDADO CAPILAR,26-COSMETICOS,1-BENS DE CONSUMO
TRATAMENTO,67-CUIDADO CAPILAR,26-COSMETICOS,1-BENS DE CONSUMO
OUTRO CUIDADO COM O CORPO,68-CUIDADO COM O CORPO,26-COSMETICOS,1-BENS DE CONSUMO
BASE DE MAQUIAGEM,69-MAQUIAGEM E ESMALTERIA,26-COSMETICOS,1-BENS DE CONSUMO
ESMALTE,69-MAQUIAGEM E ESMALTERIA,26-COSMETICOS,1-BENS DE CONSUMO
ESPELHO PORTATIL,69-MAQUIAGEM E ESMALTERIA,26-COSMETICOS,1-BENS DE CONSUMO
LAPIS MAQUIAGEM,69-MAQUIAGEM E ESMALTERIA,26-COSMETICOS,1-BENS DE CONSUMO
PINCEL PARA MAQUIAGEM,69-MAQUIAGEM E ESMALTERIA,26-COSMETICOS,1-BENS DE CONSUMO
REMOVEDOR DE MAQUIAGEM,69-MAQUIAGEM E ESMALTERIA,26-COSMETICOS,1-BENS DE CONSUMO
APRESUNTADO,6-EMBUTIDOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
LINGUICA,6-EMBUTIDOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
MORTADELA,6-EMBUTIDOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
OUTRO EMBUTIDO,6-EMBUTIDOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
PEITO DE PERU,6-EMBUTIDOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
PRESUNTO,6-EMBUTIDOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
SALAME,6-EMBUTIDOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
SALSICHA,6-EMBUTIDOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
COLONIA,71-PERFUMARIA,28-PERFUMARIA,1-BENS DE CONSUMO
PERFUME,71-PERFUMARIA,28-PERFUMARIA,1-BENS DE CONSUMO
MORDEDOR,72-ACESSORIOS DE BEBE ,29-BABY CARE,1-BENS DE CONSUMO
COLONIA INFANTIL,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
CONDICIONADOR INFANTIL,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
CREME DENTAL INFANTIL,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
CREME PARA ASSADURA,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
FRALDA,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
LENCO UMEDECIDO,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
SABONETE,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
SABONETE INFANTIL,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
SHAMPOO INFANTIL,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
TALCO INFANTIL,73-HIGIENE DO BEBE,29-BABY CARE,1-BENS DE CONSUMO
GEL ANTISSEPTICO PARA MAOS,74-DIVERSOS HIGIENE E LIMPEZA,30-DIVERSOS HIGIENE E LIMPEZA,1-BENS DE CONSUMO
OUTRO,74-DIVERSOS HIGIENE E LIMPEZA,30-DIVERSOS HIGIENE E LIMPEZA,1-BENS DE CONSUMO
ABSORVENTE,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ALGODAO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ALICATE DE UNHA,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
CORTADOR DE UNHA,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ESCOVA DE BANHO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ESCOVA ESPONJA PARA UNHA,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
