new_subcategory,family,category,segment
LIMAO,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MACA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MAMAO,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MANGA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MARACUJA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MELANCIA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MELAO,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MEXERICA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MORANGO,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
NECTARINA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
PERA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
PESSEGO,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
PINHAO,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
ROMA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
SECAS,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
TANGERINA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
TOMATE,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
UVA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
