description;segment;category;subcategory
TOMATE PAGANINI 400G S/PELE TOMATE PAGANINI 400GS/PELE;1-BENS DE CONSUMO;5-HORTIFRUTI (FLV);66-VEGETAL
MUCILON 400G LT MULTI CEREAI;1-BENS DE CONSUMO;6-MERCEARIA;19-ALIMENTOS E FORMULAS INFANTIS CEREAL INFANTIL OU FARINHA LACTEA
